vehicle_type,level_of_loading,incline,mean_speed,t_amb,consumption
EZ10,0,0,17.957,20,0.215
EZ10,0,0,17.957,22,0.225
EZ10,0,0,17.957,24,0.217
EZ10,0,0,17.957,26,0.216
EZ10,0,0,17.957,28,0.222
EZ10,0,0,17.957,30,0.231
EZ10,0,0,17.957,32,0.217
EZ10,0,0,25.184,-16,0.482
EZ10,0,0,25.184,-12,0.439
EZ10,0,0,25.184,-14,0.46
EZ10,0,0,25.184,-10,0.418
EZ10,0,0,25.184,-8,0.397
EZ10,0,0,25.184,-6,0.377
EZ10,0,0,25.184,-4,0.376
EZ10,0,0,25.184,-2,0.356
EZ10,0,0,25.184,0,0.337
EZ10,0,0,25.184,2,0.336
EZ10,0,0,25.184,4,0.317
EZ10,0,0,25.184,6,0.3
EZ10,0,0,25.184,8,0.282
EZ10,0,0,25.184,12,0.249
EZ10,0,0,25.184,10,0.265
EZ10,0,0,25.184,14,0.233
EZ10,0,0,25.184,16,0.247
EZ10,0,0,25.184,18,0.231
EZ10,0,0,25.184,22,0.223
EZ10,0,0,25.184,20,0.216
EZ10,0,0,25.184,24,0.217
EZ10,0,0,25.184,26,0.216
EZ10,0,0.01,2.626,-16,14.361
EZ10,0,0.01,2.626,-14,12.87
EZ10,0,0,25.184,28,0.22
EZ10,0,0.01,2.626,-12,11.453
EZ10,0,0,25.184,30,0.225
EZ10,0,0.01,2.626,-10,10.11
EZ10,0,0.01,2.626,-8,8.841
EZ10,0,0.01,2.626,-6,7.645
EZ10,0,0,25.184,32,0.216
EZ10,0,0.01,2.626,-4,7.577
EZ10,0,0.01,2.626,-2,6.467
EZ10,0,0.01,2.626,0,5.431
EZ10,0,0.01,2.626,2,5.386
EZ10,0,0.01,2.626,6,3.558
EZ10,0,0.01,2.626,4,4.434
EZ10,0,0.01,2.626,8,2.762
EZ10,0,0.01,2.626,10,2.049
EZ10,0,0.01,2.626,12,1.43
EZ10,0,0.01,2.626,14,0.918
EZ10,0,0.01,2.626,18,0.913
EZ10,0,0.01,2.626,16,1.416
EZ10,0,0.01,2.626,20,0.564
EZ10,0,0.01,2.626,22,0.711
EZ10,0,0.01,2.626,24,0.601
EZ10,0,0.01,2.626,26,0.6
EZ10,0,0.01,2.626,30,0.932
EZ10,0,0.01,2.626,28,0.73
EZ10,0,0.01,2.626,32,0.653
EZ10,0,0.01,12.115,-16,0.963
EZ10,0,0.01,12.115,-14,0.896
EZ10,0,0.01,12.115,-8,0.71
EZ10,0,0.01,12.115,-10,0.77
EZ10,0,0.01,12.115,-12,0.832
EZ10,0,0.01,12.115,-6,0.653
EZ10,0,0.01,12.115,-4,0.65
EZ10,0,0.01,12.115,-2,0.595
EZ10,0,0.01,12.115,2,0.54
EZ10,0,0.01,12.115,0,0.542
EZ10,0,0.01,12.115,4,0.49
EZ10,0,0.01,12.115,6,0.442
EZ10,0,0.01,12.115,8,0.396
EZ10,0,0.01,12.115,10,0.353
EZ10,0,0.01,12.115,12,0.313
EZ10,0,0.01,12.115,14,0.275
EZ10,0,0.01,12.115,16,0.311
EZ10,0,0.01,12.115,18,0.275
EZ10,0,0.01,12.115,20,0.242
EZ10,0,0.01,12.115,22,0.257
EZ10,0,0.01,12.115,24,0.245
EZ10,0,0.01,12.115,26,0.245
EZ10,0,0.01,12.115,30,0.27
EZ10,0,0.01,12.115,28,0.255
EZ10,0,0.01,12.115,32,0.249
EZ10,0,0.01,17.957,-16,0.711
EZ10,0,0.01,17.957,-14,0.669
EZ10,0,0.01,17.957,-10,0.59
EZ10,0,0.01,17.957,-12,0.629
EZ10,0,0.01,17.957,-8,0.552
EZ10,0,0.01,17.957,-6,0.516
EZ10,0,0.01,17.957,-4,0.514
EZ10,0,0.01,17.957,2,0.443
EZ10,0,0.01,17.957,-2,0.479
EZ10,0,0.01,17.957,0,0.445
EZ10,0,0.01,17.957,4,0.411
EZ10,0,0.01,17.957,6,0.38
EZ10,0,0.01,17.957,8,0.351
EZ10,0,0.01,17.957,12,0.296
EZ10,0,0.01,17.957,10,0.323
EZ10,0,0.01,17.957,14,0.272
EZ10,0,0.01,17.957,16,0.295
EZ10,0,0.01,17.957,18,0.27
EZ10,0,0.01,17.957,20,0.248
EZ10,0,0.01,17.957,22,0.258
EZ10,0,0.01,17.957,26,0.249
EZ10,0,0.01,17.957,24,0.25
EZ10,0,0.01,17.957,28,0.256
EZ10,0,0.01,17.957,30,0.265
EZ10,0,0.01,17.957,32,0.251
EZ10,0,0.01,25.184,-16,0.516
EZ10,0,0.01,25.184,-14,0.494
EZ10,0,0.01,25.184,-12,0.472
EZ10,0,0.01,25.184,-10,0.451
EZ10,0,0.01,25.184,-8,0.431
EZ10,0,0.01,25.184,-6,0.411
EZ10,0,0.01,25.184,-4,0.409
EZ10,0,0.01,25.184,-2,0.39
EZ10,0,0.01,25.184,0,0.371
EZ10,0,0.01,25.184,2,0.369
EZ10,0,0.01,25.184,4,0.351
EZ10,0,0.01,25.184,6,0.333
EZ10,0,0.01,25.184,10,0.299
EZ10,0,0.01,25.184,8,0.316
EZ10,0,0.01,25.184,12,0.282
EZ10,0,0.01,25.184,14,0.266
EZ10,0,0.01,25.184,16,0.28
EZ10,0,0.01,25.184,22,0.256
EZ10,0,0.01,25.184,18,0.265
EZ10,0,0.01,25.184,20,0.25
EZ10,0,0.01,25.184,24,0.25
EZ10,0,0.01,25.184,26,0.249
EZ10,0,0.01,25.184,28,0.253
EZ10,0,0.02,2.626,-16,14.393
EZ10,0,0.02,2.626,-14,12.901
EZ10,0,0.02,2.626,-12,11.484
EZ10,0,0.02,2.626,-10,10.142
EZ10,0,0.02,2.626,-8,8.872
EZ10,0,0.02,2.626,-6,7.677
EZ10,0,0.01,25.184,32,0.249
EZ10,0,0.01,25.184,30,0.259
EZ10,0,0.02,2.626,-4,7.609
EZ10,0,0.02,2.626,-2,6.499
EZ10,0,0.02,2.626,0,5.462
EZ10,0,0.02,2.626,6,3.59
EZ10,0,0.02,2.626,2,5.417
EZ10,0,0.02,2.626,4,4.465
EZ10,0,0.02,2.626,8,2.793
EZ10,0,0.02,2.626,10,2.081
EZ10,0,0.02,2.626,12,1.461
EZ10,0,0.02,2.626,14,0.95
EZ10,0,0.02,2.626,16,1.448
EZ10,0,0.02,2.626,18,0.945
EZ10,0,0.02,2.626,20,0.596
EZ10,0,0.02,2.626,22,0.742
EZ10,0,0.02,2.626,24,0.632
EZ10,0,0.02,2.626,26,0.632
EZ10,0,0.02,2.626,28,0.762
EZ10,0,0.02,2.626,30,0.964
EZ10,0,0.02,2.626,32,0.685
EZ10,0,0.02,12.115,-16,0.995
EZ10,0,0.02,12.115,-14,0.929
EZ10,0,0.02,12.115,-12,0.864
EZ10,0,0.02,12.115,-10,0.802
EZ10,0,0.02,12.115,-8,0.742
EZ10,0,0.02,12.115,-6,0.685
EZ10,0,0.02,12.115,-4,0.682
EZ10,0,0.02,12.115,2,0.572
EZ10,0,0.02,12.115,-2,0.627
EZ10,0,0.02,12.115,0,0.574
EZ10,0,0.02,12.115,4,0.522
EZ10,0,0.02,12.115,6,0.474
EZ10,0,0.02,12.115,8,0.428
